ligand_pose	Vdw
ligand_pose_611	5120.2224
ligand_pose_612	117370.0262
ligand_pose_613	5819978.6841
ligand_pose_614	23003124.2933
ligand_pose_615	32242.1073
ligand_pose_616	19640.871
ligand_pose_617	174396.4037
ligand_pose_618	22351.9214
ligand_pose_619	1451714.5722
ligand_pose_620	155096.0148
ligand_pose_621	200262.5376
ligand_pose_622	12294.0928
ligand_pose_623	44359.4473
ligand_pose_624	1204673.1697
ligand_pose_625	5093469.4834
ligand_pose_626	42101.3701
ligand_pose_627	8551.7384
ligand_pose_628	751509.4315
ligand_pose_629	500900.0095
ligand_pose_630	1964650.2347
ligand_pose_631	239873.0388
ligand_pose_632	282220.5907
ligand_pose_633	820711.8809
ligand_pose_634	104774.9917
ligand_pose_635	2074.3081
ligand_pose_636	1467998.6541
ligand_pose_637	768193.9311
ligand_pose_638	143011.0959
ligand_pose_639	971.8695
ligand_pose_640	4573.9199
ligand_pose_641	37550.36
ligand_pose_642	61393.8917
ligand_pose_643	107599.1662
ligand_pose_644	138454.2255
ligand_pose_645	1790.3353
ligand_pose_646	-675.907
ligand_pose_647	1991.064
ligand_pose_648	83984.4348
ligand_pose_649	29856774.4462
ligand_pose_650	110137039318.1624
ligand_pose_651	-38.5897
ligand_pose_652	848179.1362
ligand_pose_653	13084.1874
ligand_pose_654	28897.6144
ligand_pose_655	727.7137
ligand_pose_656	-910.6
ligand_pose_657	-653.1715
ligand_pose_658	6409.0614
ligand_pose_659	448840.0465
ligand_pose_660	44929342.3133
ligand_pose_661	408.0208
ligand_pose_662	-841.3532
ligand_pose_663	270048.9836
ligand_pose_664	179112.8456
ligand_pose_665	4476.8204
ligand_pose_666	10059.1181
ligand_pose_667	824855.754
ligand_pose_668	36062213.4594
ligand_pose_669	26240.119
ligand_pose_670	2420223.3404
ligand_pose_671	4202.1732
ligand_pose_672	4014.4345
ligand_pose_673	21238.8672
ligand_pose_674	486285.9161
ligand_pose_675	941683.41
ligand_pose_676	-260.1541
ligand_pose_677	1927.9112
ligand_pose_678	51550616.2289
ligand_pose_679	2379.9798
ligand_pose_680	789617.0978
ligand_pose_681	-216.9983
ligand_pose_682	16123.1575
ligand_pose_683	172082383.2743
ligand_pose_684	34736359.3991
ligand_pose_685	241327.7348
ligand_pose_686	3789.0887
ligand_pose_687	393.2869
ligand_pose_688	2359.2619
ligand_pose_689	-526.2056
ligand_pose_690	-524.7101
ligand_pose_691	3749.9461
ligand_pose_692	91176.4229
ligand_pose_693	16521.0295
ligand_pose_694	15236.7162
ligand_pose_695	-630.6772
ligand_pose_696	-725.1362
ligand_pose_697	-432.9477
ligand_pose_698	4953.8253
ligand_pose_699	172475.0784
ligand_pose_700	101925469.1426
ligand_pose_701	26.2819
